Keep;Column;Value
True;PropertyType;PLAYGROUND/RECREATION AREA (NOT EQUIPMENT)
False;PropertyType;POLICE STATION
True;PropertyType;POST BOX
False;PropertyType;POST OFFICE (PURPOSE BUILT)
False;PropertyType;POST OFFICE (WITHIN OTHER SHOP/PREMISES)
False;PropertyType;PRE SCHOOL/NURSERY
False;PropertyType;PRINTING WORKS
True;PropertyType;PRISON
False;PropertyType;PRIVATE GARAGE
False;PropertyType;PRIVATE GARDEN SHED
False;PropertyType;PRIVATE GREENHOUSE
True;PropertyType;PRIVATE SUMMER HOUSE
False;PropertyType;PUB/WINE BAR/BAR
True;PropertyType;PUBLIC TOILETS
False;PropertyType;PURPOSE BUILT FLATS/MAISONETTES - 10 OR MORE STOREYS
False;PropertyType;PURPOSE BUILT FLATS/MAISONETTES - 4 TO 9 STOREYS
False;PropertyType;PURPOSE BUILT FLATS/MAISONETTES - UP TO 3 STOREYS
False;PropertyType;PURPOSE BUILT OFFICE
False;PropertyType;RACECOURSE
True;PropertyType;RAILINGS
False;PropertyType;RAILWAY BUILDING - OTHER
False;PropertyType;RAILWAY GOODS YARD
True;PropertyType;RAILWAY TRACKSIDE VEGETATION
True;PropertyType;RAILWAY
True;PropertyType;RECYCLING COLLECTION POINT/ BOTTLE BANK
True;PropertyType;RECYCLING PLANT
False;PropertyType;REFUSE/RUBBISH TIP
False;PropertyType;RESTAURANT/CAFE
False;PropertyType;RETIREMENT/OLD PERSONS HOME
False;PropertyType;RIVER/CANAL
False;PropertyType;ROAD SURFACE/PAVEMENT
False;PropertyType;ROAD TANKER
False;PropertyType;ROADSIDE FURNITURE (EG LAMP POSTS/ ROAD SIGNS/ TELEGRAPH POLES/ SPEED CAMERAS)
True;PropertyType;ROADSIDE VEGETATION
False;PropertyType;ROYAL PALACE (PART NOT OPEN TO PUBLIC)
False;PropertyType;RUGBY STADIUM
False;PropertyType;SCRUB LAND
False;PropertyType;SEA
False;PropertyType;SECONDARY SCHOOL
False;PropertyType;SELF CONTAINED SHELTERED HOUSING
False;PropertyType;SEWAGE WORKS
True;PropertyType;SHELTER
False;PropertyType;SHOPPING CENTRE
False;PropertyType;SINGLE SHOP
True;PropertyType;SMALL REFUSE/RUBBISH CONTAINER
False;PropertyType;SPORTS HALL
False;PropertyType;SPORTS PAVILION/SHOWER BLOCK/CHANGING FACILITY
False;PropertyType;SPORTS/SOCIAL CLUB
True;PropertyType;STACKED/BALED CROP
False;PropertyType;STANDING CROP
False;PropertyType;STATELY HOME (PART NOT OPEN TO PUBLIC)
False;PropertyType;STRAW/STUBBLE BURNING
False;PropertyType;STUDENT HALL OF RESIDENCE
False;PropertyType;SWIMMING POOL
False;PropertyType;SYNAGOGUE
False;PropertyType;TAKEAWAY/ FAST FOOD
True;PropertyType;TELEPHONE BOX
False;PropertyType;TELEPHONE EXCHANGE
False;PropertyType;TEMPLE
False;PropertyType;TEMPORARY OFFICE (EG PORTACABIN)
False;PropertyType;TENNIS COURTS
False;PropertyType;THEATRE
False;PropertyType;THEME PARK
False;PropertyType;TOWING CARAVAN (NOT ON TOW OR ON SITE)
False;PropertyType;TOWING CARAVAN/CAMPER VAN ON SITE
False;PropertyType;TOWN HALL
True;PropertyType;TRACTOR SHED
False;PropertyType;TRAILER (NOT ATTACHED TO TRACTOR UNIT)
True;PropertyType;TRAIN ON TUBE NETWORK
